subset,src,dst
adm,/root/gpufree-data/dataset/test/genimage/fake/109_adm_181.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/109_adm_181.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/109_adm_90.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/109_adm_90.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/111_adm_134.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/111_adm_134.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/114_adm_109.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/114_adm_109.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/119_adm_99.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/119_adm_99.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/121_adm_75.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/121_adm_75.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/121_adm_80.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/121_adm_80.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/137_adm_149.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/137_adm_149.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/138_adm_116.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/138_adm_116.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/142_adm_56.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/142_adm_56.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/147_adm_25.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/147_adm_25.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/160_adm_10.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/160_adm_10.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/164_adm_71.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/164_adm_71.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/168_adm_147.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/168_adm_147.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/168_adm_161.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/168_adm_161.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/179_adm_10.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/179_adm_10.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/189_adm_70.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/189_adm_70.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/190_adm_80.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/190_adm_80.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/194_adm_55.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/194_adm_55.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/197_adm_28.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/197_adm_28.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/199_adm_11.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/199_adm_11.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/1_adm_180.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/1_adm_180.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/202_adm_4.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/202_adm_4.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/205_adm_148.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/205_adm_148.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/205_adm_9.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/205_adm_9.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/20_adm_90.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/20_adm_90.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/229_adm_72.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/229_adm_72.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/244_adm_24.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/244_adm_24.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/251_adm_179.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/251_adm_179.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/255_adm_33.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/255_adm_33.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/256_adm_21.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/256_adm_21.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/265_adm_108.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/265_adm_108.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/268_adm_86.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/268_adm_86.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/272_adm_124.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/272_adm_124.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/273_adm_66.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/273_adm_66.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/276_adm_10.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/276_adm_10.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/278_adm_98.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/278_adm_98.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/280_adm_9.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/280_adm_9.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/283_adm_111.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/283_adm_111.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/287_adm_88.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/287_adm_88.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/290_adm_168.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/290_adm_168.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/291_adm_0.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/291_adm_0.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/296_adm_53.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/296_adm_53.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/299_adm_42.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/299_adm_42.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/308_adm_108.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/308_adm_108.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/308_adm_172.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/308_adm_172.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/309_adm_162.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/309_adm_162.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/312_adm_70.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/312_adm_70.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/320_adm_20.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/320_adm_20.PNG
adm,/root/gpufree-data/dataset/test/genimage/fake/324_adm_175.PNG,exp/genimage_prepared_v2/fake_by_subset/adm/324_adm_175.PNG
